question,expected_in_domain,predicted_in_domain,score,rationale,category,language
Wie skaliert das virtualQ-System hinsichtlich Performance und neuer Standorte?,True,True,0.98,"The question asks about virtualQ's system scaling, performance, and expansion to new locations, which directly relates to its architecture and infrastructure within the specified domain.",in_domain,en
Wie werden Spracherkennung und Intent-Erkennung im System eingesetzt?,True,True,0.87,"The question asks about how speech and intent recognition are used in the system, which pertains to virtualQ's telephony technology stack.",in_domain,en
Wie ist der Build- und Deployment-Prozess organisiert?,True,False,0.85,"The question asks about build and deployment processes generally, without referencing virtualQ, so it likely falls outside the specific virtualQ-focused domain.",in_domain,en
Wie nutzen wir Mobile Device Management?,True,True,0.85,"The question asks about using Mobile Device Management, which relates to internal security/compliance and engineering practices at virtualQ, fitting the domain.",in_domain,en
Welche Machine-Learning-Algorithmen werden in der Forecasting-Engine verwendet?,True,False,0.85,"The question asks about machine-learning algorithms in a forecasting engine without mentioning virtualQ, so it likely pertains to a generic system rather than virtualQ's technology stack.",in_domain,en
Welche verschiedenen Optimizer bietet virtualQ an und was tun sie?,True,True,0.98,"The question asks about specific virtualQ technology (optimizers), which falls within the domain of virtualQ's product and tech stack.",in_domain,en
Was ist die Hauptstadt von Frankreich?,False,False,0.99,"The question asks about the capital of France, which is unrelated to virtualQ's telephony technology or any related engineering topics.",out_of_domain_general_knowledge,en
Wer hat den Roman 1984 geschrieben?,False,False,0.99,"The question asks about the author of the novel '1984', which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en
Wie schnell ist Lichtgeschwindigkeit?,False,False,0.99,"The question asks about the speed of light, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en
Was sind die Hauptfunktionen von Genesys Cloud?,False,False,0.99,"The question asks about Genesys Cloud, a different telephony company, not about virtualQ or its technology stack.",out_of_domain_other_company,en
Wie schneidet Five9 im Vergleich zu NICE inContact ab?,False,False,0.99,"The question compares Five9 and NICE inContact, which are unrelated to virtualQ and its technology stack.",out_of_domain_other_company,en
Erkläre Quantencomputing in einfachen Worten,False,False,0.99,"The question asks for a simple explanation of quantum computing, which is unrelated to virtualQ's telephony technology stack.",out_of_domain_general_knowledge,en
Was sind die besten Python-Web-Frameworks?,False,False,0.99,"The question asks about general Python web frameworks, which is unrelated to virtualQ's telephony technology stack.",out_of_domain_general_tech,en
Wie backe ich einen Schokoladenkuchen?,False,False,0.99,"The question asks about baking a chocolate cake, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en
Wofür werden WebSockets verwendet?,False,False,0.85,The question asks generally about WebSockets and does not reference virtualQ or its specific technology stack.,out_of_domain_general_tech,en
Erkläre Kubernetes-Pod-Scheduling,False,False,0.96,"The question asks for a general explanation of Kubernetes pod scheduling, which is not specific to virtualQ or its telephony technology stack.",out_of_domain_general_tech,en
Was ist der Unterschied zwischen TCP und UDP?,False,False,0.96,"The question asks about general networking protocols (TCP vs UDP) and does not relate to virtualQ's products, technology stack, or telephony-specific implementations.",out_of_domain_general_tech,en
