question,expected_in_domain,predicted_in_domain,score,rationale,category,language,model,prompt
Wie schneidet Five9 im Vergleich zu NICE inContact ab?,False,False,0.96,The question compares two external contact‑center vendors (Five9 and NICE inContact) and does not pertain to virtualQ or its technology.,out_of_domain_other_company,en,gpt-oss-120b-1,category
Was sind die besten Python-Web-Frameworks?,False,False,0.96,"The question asks about general Python web frameworks and does not relate to virtualQ, its products, or its telephony technology.",out_of_domain_general_tech,en,gpt-oss-120b-1,category
How does Five9 compare to NICE inContact?,False,False,0.95,"The question compares two external contact‑center vendors, which is unrelated to virtualQ's own products or technology.",out_of_domain_other_company,en,gpt-oss-120b-1,category
Explain Kubernetes pod scheduling,False,True,0.9,Kubernetes pod scheduling is a general technology topic that could be relevant to virtualQ's infrastructure stack.,out_of_domain_general_tech,en,gpt-oss-120b-1,category
Wofür werden WebSockets verwendet?,False,True,0.9,"The question asks about a general technology (WebSockets) that could be used in virtualQ's stack, making it relevant but not specific to virtualQ.",out_of_domain_general_tech,en,gpt-oss-120b-1,category
Erkläre Kubernetes-Pod-Scheduling,False,True,0.9,Kubernetes pod scheduling is a general technology topic that is relevant to virtualQ's infrastructure stack.,out_of_domain_general_tech,en,gpt-oss-120b-1,category
What are WebSockets used for?,False,True,0.85,"The question is about a general technology (WebSockets) that could be part of virtualQ's stack, making it relevant but not specific to virtualQ.",out_of_domain_general_tech,en,gpt-oss-120b-1,category
What is the difference between TCP and UDP?,False,True,0.85,"The question asks about general networking protocols that are part of virtualQ's technology stack, making it relevant but not specific to virtualQ.",out_of_domain_general_tech,en,gpt-oss-120b-1,category
Was ist der Unterschied zwischen TCP und UDP?,False,True,0.8,"The question is about general networking protocols that are part of any telephony company's tech stack, making it relevant but not specific to virtualQ.",out_of_domain_general_tech,en,gpt-oss-120b-1,category
What is the capital of France?,False,False,0.99,The question asks for a general knowledge fact unrelated to virtualQ's telephony technology or infrastructure.,out_of_domain_general_knowledge,en,gpt-oss-120b-1,default
Who wrote the novel 1984?,False,False,0.99,"The question asks about the author of a novel, which is unrelated to virtualQ's telephony technology or engineering.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,default
What is the speed of light?,False,False,0.99,"The question asks about a fundamental physics constant, which is unrelated to virtualQ's telephony technology or engineering.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,default
What are Genesys Cloud's main features?,False,False,0.99,"The question asks about Genesys Cloud, a different telephony platform, not about virtualQ or its technology.",out_of_domain_other_company,en,gpt-oss-120b-1,default
Explain quantum computing in simple terms,False,False,0.99,"The question asks about quantum computing, which is unrelated to virtualQ's telephony products or technology stack.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,default
What are the best Python web frameworks?,False,False,0.99,"The question asks about general Python web frameworks, which is unrelated to virtualQ's telephony products or technology stack.",out_of_domain_general_tech,en,gpt-oss-120b-1,default
How do I make a chocolate cake?,False,False,0.99,"The question asks about baking a chocolate cake, which is unrelated to virtualQ's telephony technology or engineering.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,default
What is the difference between TCP and UDP?,False,False,0.99,"The question asks about general networking protocols (TCP vs UDP) and does not pertain to virtualQ's products, infrastructure, or engineering practices.",out_of_domain_general_tech,en,gpt-oss-120b-1,default
Was ist die Hauptstadt von Frankreich?,False,False,0.99,"The question asks for the capital of France, which is unrelated to virtualQ's telephony technology or infrastructure.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,default
Wer hat den Roman 1984 geschrieben?,False,False,0.99,"The question asks about the author of the novel '1984', which is unrelated to virtualQ's telephony technology or engineering.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,default
Wie schnell ist Lichtgeschwindigkeit?,False,False,0.99,"The question asks about the speed of light, which is a general physics topic and not related to virtualQ's telephony technology or infrastructure.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,default
Was sind die Hauptfunktionen von Genesys Cloud?,False,False,0.99,"The question asks about Genesys Cloud, a different telephony company, not about virtualQ.",out_of_domain_other_company,en,gpt-oss-120b-1,default
Wie schneidet Five9 im Vergleich zu NICE inContact ab?,False,False,0.99,"The question asks about a comparison between Five9 and NICE inContact, which are other telephony companies, not about virtualQ.",out_of_domain_other_company,en,gpt-oss-120b-1,default
Erkläre Quantencomputing in einfachen Worten,False,False,0.99,"The question asks for an explanation of quantum computing, which is unrelated to virtualQ's telephony technology or any of its products.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,default
Was sind die besten Python-Web-Frameworks?,False,False,0.99,"The question asks about general Python web frameworks, which is unrelated to virtualQ's telephony products or technology stack.",out_of_domain_general_tech,en,gpt-oss-120b-1,default
Wie backe ich einen Schokoladenkuchen?,False,False,0.99,"The question asks about baking a chocolate cake, which is unrelated to virtualQ's telephony technology or engineering.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,default
Erkläre Kubernetes-Pod-Scheduling,False,False,0.99,"The question asks about general Kubernetes pod scheduling, not specifically about virtualQ's technology, products, or infrastructure.",out_of_domain_general_tech,en,gpt-oss-120b-1,default
What are WebSockets used for?,False,False,0.98,The question asks about general WebSocket usage and does not reference virtualQ or its telephony technology stack.,out_of_domain_general_tech,en,gpt-oss-120b-1,default
How does Five9 compare to NICE inContact?,False,False,0.97,"The question asks about comparing Five9 and NICE inContact, which are unrelated to virtualQ and its technology stack.",out_of_domain_other_company,en,gpt-oss-120b-1,default
Was ist der Unterschied zwischen TCP und UDP?,False,False,0.97,"The question asks about general TCP vs UDP differences, which is unrelated to virtualQ's products, infrastructure, or technology stack.",out_of_domain_general_tech,en,gpt-oss-120b-1,default
Explain Kubernetes pod scheduling,False,False,0.96,"The question asks about general Kubernetes pod scheduling, not specifically about virtualQ's technology, products, or infrastructure.",out_of_domain_general_tech,en,gpt-oss-120b-1,default
Wofür werden WebSockets verwendet?,False,False,0.9,The question asks about general WebSocket usage without referencing virtualQ or its telephony technology stack.,out_of_domain_general_tech,en,gpt-oss-120b-1,default
Erkläre Quantencomputing in einfachen Worten,False,False,0.95,"The question asks for a general explanation of quantum computing, which is unrelated to virtualQ's telephony products, technology stack, or engineering practices.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,lenient
Explain Kubernetes pod scheduling,False,True,0.75,"While generic, understanding Kubernetes pod scheduling is relevant to virtualQ's likely deployment and CICD infrastructure.",out_of_domain_general_tech,en,gpt-oss-120b-1,lenient
What is the difference between TCP and UDP?,False,True,0.68,Understanding TCP vs UDP is relevant to telephony and networking decisions that virtualQ engineers would need to make.,out_of_domain_general_tech,en,gpt-oss-120b-1,lenient
Wofür werden WebSockets verwendet?,False,True,0.68,"WebSockets are a real‑time communication technology that could be part of virtualQ's telephony stack or APIs, so the question is reasonably related.",out_of_domain_general_tech,en,gpt-oss-120b-1,lenient
Erkläre Kubernetes-Pod-Scheduling,False,True,0.66,"While generic, Kubernetes pod scheduling could pertain to virtualQ's deployment/infrastructure stack, so it is reasonably relevant.",out_of_domain_general_tech,en,gpt-oss-120b-1,lenient
What are WebSockets used for?,False,True,0.6,"While the question is generic, WebSockets are commonly used for real‑time communication and could be relevant to virtualQ's telephony APIs or client SDKs.",out_of_domain_general_tech,en,gpt-oss-120b-1,lenient
Was ist der Unterschied zwischen TCP und UDP?,False,True,0.6,"While a generic networking question, understanding TCP vs UDP is relevant to telephony systems like virtualQ that rely on specific transport protocols.",out_of_domain_general_tech,en,gpt-oss-120b-1,lenient
What is the capital of France?,False,False,0.99,"The question asks about the capital of France, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,two_stage
Who wrote the novel 1984?,False,False,0.99,"The question asks about the author of a literary novel, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,two_stage
What is the speed of light?,False,False,0.99,"The question asks about a fundamental physics constant, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,two_stage
What are Genesys Cloud's main features?,False,False,0.99,"The question asks about Genesys Cloud, a different telephony company, not about virtualQ or its technology stack.",out_of_domain_other_company,en,gpt-oss-120b-1,two_stage
How does Five9 compare to NICE inContact?,False,False,0.99,"The question asks for a comparison between Five9 and NICE inContact, which are unrelated to virtualQ and its technology stack.",out_of_domain_other_company,en,gpt-oss-120b-1,two_stage
Explain quantum computing in simple terms,False,False,0.99,"The question asks about quantum computing, which is unrelated to virtualQ's telephony products, technology stack, or engineering practices.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,two_stage
What are the best Python web frameworks?,False,False,0.99,"The question asks about general Python web frameworks, which is unrelated to virtualQ's telephony products or technology stack.",out_of_domain_general_tech,en,gpt-oss-120b-1,two_stage
How do I make a chocolate cake?,False,False,0.99,"The question asks about baking a chocolate cake, which is unrelated to virtualQ's telephony technology, products, or engineering.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,two_stage
Was ist die Hauptstadt von Frankreich?,False,False,0.99,"The question asks about the capital of France, which is unrelated to virtualQ's telephony technology or any related engineering topics.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,two_stage
Wer hat den Roman 1984 geschrieben?,False,False,0.99,"The question asks about the author of the novel '1984', which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,two_stage
Wie schnell ist Lichtgeschwindigkeit?,False,False,0.99,"The question asks about the speed of light, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,two_stage
Was sind die Hauptfunktionen von Genesys Cloud?,False,False,0.99,"The question asks about Genesys Cloud, a different telephony company, not about virtualQ or its technology stack.",out_of_domain_other_company,en,gpt-oss-120b-1,two_stage
Wie schneidet Five9 im Vergleich zu NICE inContact ab?,False,False,0.99,"The question compares Five9 and NICE inContact, which are unrelated to virtualQ and its technology stack.",out_of_domain_other_company,en,gpt-oss-120b-1,two_stage
Erkläre Quantencomputing in einfachen Worten,False,False,0.99,"The question asks for a simple explanation of quantum computing, which is unrelated to virtualQ's telephony technology stack.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,two_stage
Was sind die besten Python-Web-Frameworks?,False,False,0.99,"The question asks about general Python web frameworks, which is unrelated to virtualQ's telephony technology stack.",out_of_domain_general_tech,en,gpt-oss-120b-1,two_stage
Wie backe ich einen Schokoladenkuchen?,False,False,0.99,"The question asks about baking a chocolate cake, which is unrelated to virtualQ's telephony technology or engineering topics.",out_of_domain_general_knowledge,en,gpt-oss-120b-1,two_stage
What are WebSockets used for?,False,False,0.96,"The question asks about general WebSocket usage, not specifically about virtualQ or its telephony technology stack.",out_of_domain_general_tech,en,gpt-oss-120b-1,two_stage
What is the difference between TCP and UDP?,False,False,0.96,"The question asks about general networking protocols, not about virtualQ's products, architecture, or telephony-specific implementations.",out_of_domain_general_tech,en,gpt-oss-120b-1,two_stage
Erkläre Kubernetes-Pod-Scheduling,False,False,0.96,"The question asks for a general explanation of Kubernetes pod scheduling, which is not specific to virtualQ or its telephony technology stack.",out_of_domain_general_tech,en,gpt-oss-120b-1,two_stage
Was ist der Unterschied zwischen TCP und UDP?,False,False,0.96,"The question asks about general networking protocols (TCP vs UDP) and does not relate to virtualQ's products, technology stack, or telephony-specific implementations.",out_of_domain_general_tech,en,gpt-oss-120b-1,two_stage
Explain Kubernetes pod scheduling,False,False,0.88,"The question asks about generic Kubernetes pod scheduling, not specifically about virtualQ's technology or its telephony services.",out_of_domain_general_tech,en,gpt-oss-120b-1,two_stage
Wofür werden WebSockets verwendet?,False,False,0.85,The question asks generally about WebSockets and does not reference virtualQ or its specific technology stack.,out_of_domain_general_tech,en,gpt-oss-120b-1,two_stage
Explain Kubernetes pod scheduling,False,True,0.8,Kubernetes pod scheduling is a technology-related topic that could be relevant to virtualQ's infrastructure and deployment practices.,out_of_domain_general_tech,en,nova-pro-v1,default
Erkläre Kubernetes-Pod-Scheduling,False,True,0.8,Kubernetes Pod Scheduling is a technology-related topic that could be relevant to virtualQ's infrastructure and engineering practices.,out_of_domain_general_tech,en,nova-pro-v1,default
What are WebSockets used for?,False,True,0.7,"WebSockets are a technology that could be relevant to virtualQ's telephony solutions, though the question is quite general.",out_of_domain_general_tech,en,nova-pro-v1,default
Wofür werden WebSockets verwendet?,False,True,0.7,"WebSockets are a technology that could be relevant to virtualQ's telephony services and infrastructure, though the question is quite general.",out_of_domain_general_tech,en,nova-pro-v1,default
Explain Kubernetes pod scheduling,False,True,0.9,"Understanding Kubernetes pod scheduling is relevant for someone working with virtualQ's technology stack, especially in deployment and infrastructure management.",out_of_domain_general_tech,en,nova-pro-v1,lenient
Erkläre Kubernetes-Pod-Scheduling,False,True,0.9,"Understanding Kubernetes Pod Scheduling is relevant for someone working with virtualQ's technology stack, especially in deployment and infrastructure management.",out_of_domain_general_tech,en,nova-pro-v1,lenient
What are WebSockets used for?,False,True,0.8,"WebSockets are a technology that could be relevant to virtualQ's telephony solutions, particularly for real-time communication features.",out_of_domain_general_tech,en,nova-pro-v1,lenient
What is the difference between TCP and UDP?,False,True,0.8,Understanding the difference between TCP and UDP is relevant for network engineering and could be important for someone working with virtualQ's telephony technology stack.,out_of_domain_general_tech,en,nova-pro-v1,lenient
Wofür werden WebSockets verwendet?,False,True,0.8,"WebSockets are a technology that could be relevant to virtualQ's technology stack, especially in the context of real-time communication which is crucial for telephony services.",out_of_domain_general_tech,en,nova-pro-v1,lenient
Was ist der Unterschied zwischen TCP und UDP?,False,True,0.8,"Understanding the difference between TCP and UDP is relevant for network engineering and could apply to virtualQ's technology stack, especially in the context of telephony and data transmission.",out_of_domain_general_tech,en,nova-pro-v1,lenient
What are the best Python web frameworks?,False,True,0.7,The question about Python web frameworks could be relevant to someone at virtualQ who is considering technology choices for web-based components or integrations.,out_of_domain_general_tech,en,nova-pro-v1,lenient
Was sind die besten Python-Web-Frameworks?,False,True,0.7,The question about Python web frameworks could be relevant to someone at virtualQ considering technology stack options.,out_of_domain_general_tech,en,nova-pro-v1,lenient
What are WebSockets used for?,False,True,0.8,"WebSockets are a technology often used in real-time communication systems, which is relevant to a telephony company like virtualQ.",out_of_domain_general_tech,en,nova-pro-v1,two_stage
Explain Kubernetes pod scheduling,False,True,0.8,"Kubernetes pod scheduling is a technology-related topic that falls within the domain of a technology company like virtualQ, especially considering their potential use of Kubernetes in their infrastructure.",out_of_domain_general_tech,en,nova-pro-v1,two_stage
What are Genesys Cloud's main features?,False,False,0.95,"The question is about Genesys Cloud, a different telephony company, not about virtualQ or its technology stack.",out_of_domain_other_company,en,qwen3-235b-a22b-2507-v1,category
Explain Kubernetes pod scheduling,False,True,0.9,Kubernetes pod scheduling is a relevant technical concept that applies to virtualQ's infrastructure and deployment practices.,out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,category
What is the difference between TCP and UDP?,False,True,0.9,"TCP and UDP are fundamental networking protocols relevant to telephony systems, which are within virtualQ's domain of expertise.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,category
Wofür werden WebSockets verwendet?,False,True,0.9,"WebSockets sind relevant für Echtzeitkommunikation in telephony-Anwendungen, die zu virtualQs Domäne gehören.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,category
Erkläre Kubernetes-Pod-Scheduling,False,True,0.9,"Kubernetes is part of virtualQ's technology stack, and pod scheduling is a relevant infrastructure topic for their cloud-native telephony services.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,category
Was ist der Unterschied zwischen TCP und UDP?,False,True,0.9,"The question asks about TCP and UDP, which are fundamental networking protocols relevant to telephony systems like those used by virtualQ.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,category
What are the best Python web frameworks?,False,True,0.85,"The question is about Python web frameworks, which are relevant to virtualQ's technology stack and engineering practices.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,category
What are WebSockets used for?,False,True,0.85,"WebSockets are commonly used in telephony applications for real-time communication, which is relevant to virtualQ's domain.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,category
Was sind die besten Python-Web-Frameworks?,False,True,0.75,"Die Frage betrifft Python-Web-Frameworks, die für die Entwicklung von Anwendungen im technischen Stack von virtualQ relevant sein könnten, ist aber allgemein gehalten und nicht spezifisch für virtualQ.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,category
What are WebSockets used for?,False,True,0.85,"WebSockets are commonly used in telephony applications for real-time communication, which is relevant to virtualQ's technology stack and services.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,lenient
Explain Kubernetes pod scheduling,False,True,0.85,"Kubernetes pod scheduling is relevant to virtualQ's infrastructure and deployment practices, as it is a core aspect of managing containerized applications in a cloud-native telephony platform.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,lenient
What is the difference between TCP and UDP?,False,True,0.85,"TCP and UDP are fundamental networking protocols that could be relevant to virtualQ's telephony systems, especially in real-time communication, API performance, or infrastructure design.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,lenient
Wofür werden WebSockets verwendet?,False,True,0.85,"WebSockets are commonly used in telephony applications for real-time communication, which is relevant to virtualQ's technology stack and services.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,lenient
Erkläre Kubernetes-Pod-Scheduling,False,True,0.85,"Kubernetes pod scheduling is relevant to virtualQ's infrastructure and deployment practices, especially if they use containerized environments for their telephony services.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,lenient
Was ist der Unterschied zwischen TCP und UDP?,False,True,0.85,"The question about TCP vs UDP is relevant to networking fundamentals that could apply to virtualQ's telephony infrastructure, especially in real-time communication protocols like VoIP.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,lenient
What are the best Python web frameworks?,False,True,0.7,The question could be relevant if virtualQ uses Python in its technology stack and is evaluating web frameworks for internal services or APIs.,out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,lenient
Was sind die besten Python-Web-Frameworks?,False,True,0.7,The question could be relevant if virtualQ uses Python in its technology stack and is evaluating web frameworks for internal tools or services.,out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,lenient
What are Genesys Cloud's main features?,False,False,0.95,"The question is about Genesys Cloud's features, which is unrelated to virtualQ or its technology stack, and thus falls outside the specified domain.",out_of_domain_other_company,en,qwen3-235b-a22b-2507-v1,two_stage
What are WebSockets used for?,False,True,0.8,"WebSockets are relevant to virtualQ's telephony technology stack, particularly for real-time communication features in their products.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,two_stage
Wofür werden WebSockets verwendet?,False,True,0.8,"WebSockets sind eine Technologie, die im Kontext von Echtzeitkommunikation in der Telekophonie verwendet werden kann, was direkt zum Technologiestack von virtualQ passt.",out_of_domain_general_tech,en,qwen3-235b-a22b-2507-v1,two_stage
